No,Urls,Video Name,View,Like,Comm,published_date,duration,minute,type,Engagement Rate,AVG View Duration,Views to Likes Ratio
277,https://www.youtube.com/watch?v=xKLo4xoNCzA,เนื้อหาเกี่ยวกับ การพักผ่อนสบายๆ สไตล์คุณหนู,105,14,2,2024-07-27,2:02:40,122.67,ฟรีทอร์ก,0.1523809524,0.04,7.5
278,https://www.youtube.com/watch?v=58lsODYpjcg,จัดอันดับอาหารไทยรสเลิศในใจฉัน | Tier List Thai Food EP.2,108,18,0,2024-07-20,1:10:41,70.68,รีวิว/สาระ,0.1666666667,0.02,6
279,https://www.youtube.com/watch?v=y6jcNQ1doRA,เกมที่เกี่ยวกับโซ่ แต่ไม่ได้ใช้ล่าม  | Chained together EP.1 (จะต่อมั้ง),184,32,2,2024-07-14,1:17:40,77.67,เล่นเกม,0.1847826087,0.02,5.75
280,https://www.youtube.com/watch?v=TsCnBywxEmY,อาหารไทยจานโปรดที่สุดของฉัน | Tier List Thai Food,116,24,0,2024-07-13,1:06:00,66.00,รีวิว/สาระ,0.2068965517,0.02,4.833333333
281,https://www.youtube.com/watch?v=2ySIUGF1Mm4,ความพ่ายแพ้ต่อค่านิยม | Freetalk ได้ทุกเรื่อง,129,24,3,2024-07-06,1:03:54,63.90,ฟรีทอร์ก,0.2093023256,0.02,5.375
282,https://www.youtube.com/watch?v=3Pbj7rFzN7o,ผีที่แสนห่วงหา อาลัย EP.4【The Bridge Curse 2: The Extrication】,114,16,1,2024-06-30,1:27:29,87.48,เล่นเกม,0.149122807,0.03,7.125
283,https://www.youtube.com/watch?v=Zl0367PEGGw,ใครอยู่ที่ระเบียง ? | ประสบการณ์โดยตรงจากคุณหนู [เล่าเรื่องผี EP.8],265,15,2,2024-06-29,1:00:07,60.12,เล่าเรื่องผี,0.0641509434,0.02,17.66666667
284,https://www.youtube.com/watch?v=AG9En-vRCcg,【Short Live】คุณหนูมารีนกับไลฟ์แนวตรง #shorts,124,24,4,2024-06-22,1:03:53,63.88,Shots,0.2258064516,0.02,5.166666667
285,https://www.youtube.com/watch?v=kk3swf-bbxg,ผีมันอยู่ใต้ดิน ยิ่งลงไปยิ่งลึกลับ EP.3【The Bridge Curse 2: The Extrication】,103,13,0,2024-06-16,1:49:36,109.60,เล่นเกม,0.1262135922,0.03,7.923076923
286,https://www.youtube.com/watch?v=FiBarx6zLno,【DEBUT】Mini Marine Chariot Arrival !  ถึงตัวจะเล็กแต่ หัวก็โต,318,25,0,2024-06-15,1:03:48,63.80,ประกาศ/อีเวนต์,0.0786163522,0.02,12.72
